,Open - ended,Open - ended,Close - ended,Close - ended,Total,Total, , , , , , , , , , , , , , , 
Date,Number  (1),Assets  (1),Number  (1),Assets  (1),Number  (1),Assets  (1),Domestic Shares  (2),Foreign Shares  (2),Domestic Sukuk and Bonds  (2),Foreign Bonds  (2),Domestic Money Market Instruments  (2),Foreign Money Market Instruments  (2),Other Domestic Assets  (2),Other Foreign Assets  (2),Real Estate Investments  (2),Total Assets  (2),No. of Operating Funds  (3),No. of Subscribers  (3),Domestic Assets *  (3),Foreign Assets *  (3),Total Assets of Funds *  (3)
10/1/2008 12:00:00 AM,243,71652,19,3162,262,74814,17058,9749,1618,559,38289,2252,2145,995,2149,74814,262,374975,61259,13555,74814
1/1/2009 12:00:00 AM,238,74646,15,2548,253,77194,15114,7821,1513,240,44324,3722,1623,912,1925,77194,253,371097,64499,12695,77194
4/1/2009 12:00:00 AM,234,87038,13,1518,247,88556,18136,9615,1312,380,51855,2489,1793,873,2103,88556,247,369245,75199,13357,88556
7/1/2009 12:00:00 AM,239,92505,11,1365,250,93870,20528,9924,1913,340,51828,4723,1252,1062,2300,93870,250,364306,77820,16050,93870
10/1/2009 12:00:00 AM,235,87929,9,1619,244,89548,19281,10009,1960,324,49402,4099,1167,974,2332,89548,244,356331,74135,15413,89548
1/1/2010 12:00:00 AM,232,91529,9,1603,241,93132,22104,10191,6080,410,46141,4139,1119,913,2035,93132,241,349474,77479,15653,93132
4/1/2010 12:00:00 AM,232,97555,9,1392,241,98947,19712,8957,2653,335,53429,9374,1930,772,1785,98947,241,340515,79508,19439,98947
7/1/2010 12:00:00 AM,233,96876,11,1414,244,98290,20718,10076,2904,613,52120,8313,986,868,1692,98290,244,331285,78420,19869,98289
10/1/2010 12:00:00 AM,233,93592,10,1148,243,94740,20948,10933,2995,363,48330,8028,694,976,1473,94740,243,320415,74440,20300,94740
1/1/2011 12:00:00 AM,233,87551,10,1340,243,88891,20327,11143,2858,1107,45074,4740,1470,1146,1026,88891,243,312661,70756,18135,88891
4/1/2011 12:00:00 AM,231,87499,12,1392,243,88891,19645,11046,2754,2277,43897,5013,1424,1468,1367,88891,243,305268,69087,19804,88891
7/1/2011 12:00:00 AM,230,84552,9,925,239,85477,18059,8912,3062,2350,43354,5802,1388,1061,1489,85477,239,300038,67351,18126,85477
10/1/2011 12:00:00 AM,239,80746,10,1447,249,82193,18472,9289,3031,2560,40132,5454,1156,359,1740,82193,249,293905,64531,17662,82193
